id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	acidres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	G	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	glamourrange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpglamourgems	gf	ga	gw	ge	gs	gd	gn	gg	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	proudsteed	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	disbelieve	truesight	falsesupplies	bestowtomount	extraarms	nomount	noinanimate	nightmareaura	undreaming	glamourman	nomindless	noforgebonus	magerestriction	dancingweapon	strikes	warning	strrequired	beauty	scalewalls	nononsleeper	reconst	blur	fireempower	airempower	waterempower	earthempower	heavy	dreamenhancer	end
1	Fire Sword	1-h wpn	1	F	1			76																																																																																																																																																																																																																																																																																										
2	Ice Sword	1-h wpn	1	W	1			77																																																																																																																																																																		71																																																																																																																								
3	Ice Lance	1-h wpn	1	W	1			693																																																																																																																																																																		71																																																																																																																								
4	Blacksteel Sword	1-h wpn	1	E	1			691																																																																																																																																																																		60																																																																																																																								
5	Enchanted Sword	1-h wpn	1	S	1			75																																																																																																																																																																																																																																																																																										
6	Enchanted Spear	1-h wpn	1	S	1			120																																																																																																																																																																																																																																																																																										
7	Enchanted Pike	2-h wpn	1	S	1			220																																																																																																																																																																																																																																																																																										
8	Hardwood Club	1-h wpn	1	N	1			692																																																																																																																																																																																																																																																																																										
9	Sceptre of Authority	1-h wpn	3	F	1			172																																																									50																																																																					Burn																																																																																																																																																												
10	Burning Blade	1-h wpn	3	F	1			681																																																																																																																																																																																																																																																																																										
11	Holy Scourge	2-h wpn	3	F	1			402																																																																																																																																																																		61																																																																																																																								
12	Mace of Eruption	1-h wpn	3	F	1			682																																																																																																																																																																																																																																																																																										
13	Staff of Flame Focus	2-h wpn	3	F	1			238																																																																														1																																																																																																																																																																																																												
14	Flambeau	2-h wpn	5	F	3			95			5																																																																																																																											Holy Pyre																																				61																																																																																																																								
15	Thunder Whip	1-h wpn	3	A	1			208		5																																																																																																																																																																																																																																																																																								
16	Ice Pebble Staff	2-h wpn	5	W	3			238				5																																																																																																																										Winter's Chill																																																																																																																																																												
17	Ice Mist Scimitar	1-h wpn	3	W	1	A	1	685				10																																																																																																																																																																																																																																																																																						
18	Coral Blade	1-h wpn	3	W	1			689																																																																																																																																																																8		88	40																																																																																																																							
19	Stinger	1-h wpn	3	E	1			78																																																																																																																																																																																																																																																																																										
20	Sword of Sharpness	1-h wpn	3	E	1			74																																																																																																																																																																																																																																																																																										
21	Axe of Sharpness	1-h wpn	3	E	1			245																																																																																																																																																																																																																																																																																										
22	Greatsword of Sharpness	2-h wpn	3	E	1			108																																																																																																																																																																																																																																																																																										
23	Main Gauche of Parrying	1-h wpn	3	E	1			99																																																																																																																																																																																																																																																																																										
24	Halberd of Might	2-h wpn	3	E	1			107																					4																																																																																																																																																																																																																																																																					
25	Smasher	1-h wpn	3	E	2			327																																																																																																																																																																																																																																																																																										
26	Hammer of the Mountains	2-h wpn	3	E	1			130																																																																																																																																																																																																																																																																																										
27	Lightning Rod	2-h wpn	3	E	1			238		15																																																																																																																																															4																																																																																																																																									
28	Star of Heroes	1-h wpn	3	E	2			173																																																																																																																																																																																																																																																																																										
29	Dwarven Hammer	1-h wpn	3	E	3			115											2																																																																																																																																																							30	78																																																																																																																							
30	Eyecatcher	1-h wpn	3	E	1	W	1	548																																																																																																																																																																																																																																																																																										
31	Faithful	1-h wpn	3	E	1	G	1	102										1																																						1																																																																																																																																																																																																																																										
32	Rod of the Leper King	1-h wpn	3	D	1			172																																																						1				100																																																																																																																																																																																																																																
33	Duskdagger	1-h wpn	3	D	1	S	1	129																																																																																																																																																																		80																																																																																																																								
34	Bane Blade	1-h wpn	3	D	1			42																																																																																																																																																																		76																																																																																																																								
35	Bane Blade	2-h wpn	3	D	1			41																																																																																																																																																																		76																																																																																																																								
36	Doom Glaive	2-h wpn	3	D	1	S	1	430																																																																																																																																																																																																																																																																																										
37	Hunter's Knife	1-h wpn	3	N	1			242																																																																																																																																																																																																																																																																																										
38	Thorn Spear	1-h wpn	3	N	1			79																																																																																																																																																																		7	53																																																																																																																							
39	Thorn Staff	2-h wpn	3	N	1			81																																																																																																																																																																		7	53																																																																																																																							
40	Vine Whip	1-h wpn	3	N	2			136																																																																																																																																																																		53																																																																																																																								
41	Gloves of the Gladiator	2-h wpn	3	N	2			128																			1		3																																																																																																																																													56	98																																																																																																																							
42	Knife of the Damned	1-h wpn	3	N	1	S	1	117																																																					1		1																																																																																																																																																																																																																																			
43	Jade Knife	1-h wpn	3	N	1	B	1	309																																																																																																																																										111	73	25							2																																																																																																																																							
44	Pixie Spear	1-h wpn	3	G	1			789																																																																																																																																																																																																																																																																																										
45	Toy Sword	1-h wpn	3	G	1			793																																																																																																																																																																																																																																																																							1																			
46	Shillelagh	1-h wpn	3	G	1	N	1	701																																																1																																																																																										58	11																		592								-40	-60																																																																																																																				
47	Blade of Grass	1-h wpn	3	G	1	N	1	816																																																																																																																																																																																																																																																																																										
48	Wand of Wild Fire	1-h wpn	5	F	3			172																																																																																																																														Fireball																																																																																																																																																												
49	Fire Brand	1-h wpn	7	F	1	E	1	80			5																	2																																																																																																																																																																																																																																																																						
50	Lightning Spear	1-h wpn	5	A	1			278		5																																																																																																																																																																																																																																																																																								
51	Shock Trident	2-h wpn	5	A	1			853		5																																																																																																																																																																																																																																																																																								
52	Staff of Corrosion	2-h wpn	5	W	2	F	1	238																																																																																																																														Acid Bolt																																																																																																																																																												
53	Rune Smasher	1-h wpn	5	W	2	F	2	233																													2																																																																																																																																																																																																																																																													
54	Frost Brand	1-h wpn	5	W	1			82				5																																																																																																																																																																																																																																																																																						
55	Sword of Swiftness	1-h wpn	5	W	2			106																																																																																																																																																																																																																																																																																										
56	Midget Masher	2-h wpn	5	E	1			133																																																																																																																																																																																																																																																																																										
57	Elf Bane	1-h wpn	5	E	1	S	1	246																																																																																																																																																																																																																																																																																										
58	Implementor Axe	2-h wpn	5	E	1	D	1	181																																																													10																																																	25																																																																																																																																																																												
59	Starfire Staff	1-h wpn	5	S	2			172																																																																																		1																																												Star Fires																																																																																																																																																												
60	Herald Lance	1-h wpn	5	S	2			109																																																												1																																																																		Solar Rays																																																																																																																																																												
61	Wraith Sword	2-h wpn	5	D	2			110																																																																																																																																																																																																																																																																																										
62	Skull Staff	2-h wpn	5	D	2			238																																																																									1																																																																																																																																																																																																																	
63	Serpent Kryss	1-h wpn	5	N	1			297					5																																																																																																																																																													98	108																																																																																																																							
64	Snake Bladder Stick	1-h wpn	5	N	1			183																																																																																																																																																																																																																																																																																										
65	Thistle Mace	1-h wpn	5	N	2			163																																																																										1																																																																																																																																																																																																																
66	Whip of Command	1-h wpn	5	N	1			140																																																									150			-2																																																																																																																																																							3																																																																							
67	Rat Tail	1-h wpn	5	N	1			138																																																																																																																																																																																																		4																	1																																																																							
68	Skull Standard	2-h wpn	5	N	2	D	1	100																																																													5																																																																	Panic																																				53																																																																																																																								
69	Summer Sword	1-h wpn	5	N	2	E	1	178																																																																																																																	150													Tangle Vines																																																																																																																																																												
70	Unseen Sword	1-h wpn	5	G	1			764																																																																																																																																																												2																																																																																																																														
