id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	mountmnr	skilledrider	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	bow	head	body	foot	misc	crownonly	pathcost	startdom	bonusspells	F	A	W	E	S	D	N	G	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	domimmortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	haltheretic	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	reform	regeneration	reanimator	poisonarmor	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	adeptsacr	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	xpshape	unique	fixedname	special	nametype	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	domsummon20	raredomsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	deathfire	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamialord	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	battlesum5	acidshield	drake	prophetshape	horror	enchrebate50p	latehero	sailsize	uwdamage	landdamage	rpcost	buffer	rand5	nbr5	link5	mask5	rand6	nbr6	link6	mask6	mummification	diseaseres	raiseonkill	raiseshape	sendlesserhorrormult	xploss	theftofthesunawe	incorporate	hpoverslow	blessbers	dragonlord	curseattacker	uwheat	slothresearch	horrordeserter	mindvessel	elementrange	sorceryrange	older	disbelieve	firerange	astralrange	landreinvigoration	naturerange	beartattoo	horsetattoo	reincarnation	wolftattoo	boartattoo	sleepaura	snaketattoo	appetite	astralfetters	foreignmagicboost	templetrainer	infernoret	kokytosret	addrandomage	unsurr	combatcaster	homeshape	speciallook	aisinglerec	nowish	bugreform	mason	onisummon	sunawe	spiritsight	defenceorganiser	invisible	startaff	ivylord	spellsinger	magicstudy	triplegod	triplegodmag	unify	triple3mon	yearturn	fortkill	thronekill	digest	indepmove	unteleportable	reanimpriest	stunimmunity	entangle	alchemy	woundfend	singlebattle	falsearmy	summon5	ainorec	researchwithoutmagic	slaver	autocompete	deathparalyze	adventurers	cleanshape	reqlab	reqtemple	horrormarked	changetargetgenderforseductionandseductionimmune	corpseconstruct	guardianspiritmodifier	isashah	iceforging	isayazad	isadaeva	blessfly	plant	clockworklord	commaster	comslave	minsizeleader	snowmove	swimming	stupid	skirmisher	ironvul	heathensummon	unseen	illusionary	reformtime	immortalrespawn	nomovepen	wolf	dungeon	graphicsize	twiceborn	aboleth	tmpastralgems	localsun	tmpfiregems	defiler	mountedbeserk	lanceok	startheroab	minprison	uwfireshield	saltvul	landenc	plaguedoctor	curseluckshield	pathboostuw	pathboostland	noarmormapmovepenalty	farthronekill	hpoverflow	indepstay	polyimmune	horrormark	deathdisease	allret	percentpathreduction	aciddigest	beckon	slaverbonus	carcasscollector	mindcollar	labpromotion	mountainrec	indepspells	enchrebate50	summon1	randomspell	deathpower	deathrec	norange	insanify	reanimator	defector	nohof	batstartsum1d3	enchrebate10	undying	moralebonus	uncurableaffliction	autoblessed	wintersummon1d3	stygianguide	almostundead	end
1	Logrian Slinger	17	22						6	118			1		0	0	3	3	12	0	10	10	11	9	9	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
2	Standard	6	21						116	127	4		1		0	0	3	3	10	0	10	10	10	10	10	10	3	18	12						50					2		1	1	1	2																																																																												1																																																																																																																																																																																				1																																																																																																																																																																													
3	Serpent Cataphract	357							126	14	2		1		0	0	3	3	12	0	10	12	12	12	12	10	3	18	12			3536	1		50					2		1	1	1	2																																													1																																																																																																																																																																																																																			1																																																																																																																																																																													
4	Serpent	495											1		0	0	4	4	28	8	5	14	13	13	10	5	3	18	20						50					0		0	0	0	2																																							1	1																																	1																10	5									250																																																																																																																																																													1																																																																																																												1																																																																	
5	Serpent Lord	357							126	14	2		1		0	0	3	3	15	0	11	15	13	14	13	10	3	18	12			3536	2		75					2		1	1	1	2																																																																																																																																																																																																																																																																30																																																																																																																																																																													
6	Emerald Lord	8							126	14	4		1		0	0	3	3	15	0	12	16	13	15	14	10	3	18	12						100					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
7	Emerald Guard	8							126	14	4		1		0	0	3	3	13	0	10	14	12	13	12	10	3	18	12						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
8	Elephant Spearman	28							9	20			1		0	0	3	3	12	0	11	11	11	10	9	9	3	12	11						50					2		1	1	1	2																																											1	1																																												15																																																																																																																																																																								1																																																																																																																																																																													
9	High Priest of C'tis	29							148	286			1		0	0	3	3	11	5	16	11	10	9	9	10	4	12	9						50	10				2		1	1	1	2														2																	1									1					1																																													5																																																																																																																																																															328							1																																												295																																																															1																																																																		
10	Projection	770											1		0	0	3	3	1	0	10	50	10	10	10	10	0	3	12						50			0		2		1	1	1	2																																		1														1																							1																			25																								1																																																																																																																																														1																																																										1																																																																																																																			
11	Retiarius	263	3						7	123			1		0	0	3	3	12	0	10	14	12	11	13	10	3	14	10						50					2		1	1	1	2																																																																																																																																																																																																																																																																65523																																																																																1																																																																																													
12	Gladiator	16							7	123			1		0	0	2	2	12	0	10	14	12	11	13	10	3	14	10						50					2		1	1	1	2																																																																																																																																																																																																																																																																65523																																																																																1																																																																																													
13	Hoplite Commander	28							14	123	209		1		0	0	3	3	13	0	10	13	12	12	12	10	2	16	12						100					2		1	1	1	2																																																																										2																																																																																																																																																																																						1																																																																																																																																																																													
14	Hoplite	28							14	123	209		1		0	0	3	3	11	0	10	11	11	11	10	10	3	16	12						50					2		1	1	1	2																																																																										2																																																																																																																																																																																						1																																																																																																																																																																													
15	Hypaspist Commander	1							9	123	209		1		0	0	3	3	13	0	10	14	12	12	13	10	3	16	13						100					2		1	1	1	2																																																																										2																																																																																																																																																																																						1																																																																																																																																																																													
16	Hypaspist	1							9	123	209		1		0	0	3	3	11	0	10	13	11	11	12	10	3	16	13						50					2		1	1	1	2																																																																										2																																																																																																																																																																																						1																																																																																																																																																																													
17	Archer	9	23						5	120			1		0	0	3	3	10	0	10	8	10	8	8	10	4	12	11						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
18	Militia	1							5	119	2		1		0	0	3	3	10	0	10	8	10	8	8	10	4	10	11						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
19	Heavy Cavalry	4	8						12	118	3		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12			3516			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
20	Heavy Cavalry	357							12	118	2		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12			3515			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
21	Heavy Cavalry	4	15						18	118	3		1		0	0	3	3	10	0	10	11	10	10	10	10	3	14	12			3517			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
22	Knight	4	8						18	21	3		1		0	0	3	3	11	0	10	13	11	11	11	10	3	14	12			3517			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
23	Knight Commander	4	13						18	21	3		1		0	0	3	3	12	0	10	14	12	12	12	10	3	14	12			3517			50					2		1	1	1	2																																																																																																																																																																																																																																																																20																																																																																																																																																																													
24	Light Cavalry	1	21						5	120			1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12			3513			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
25	Light Cavalry	1	23						10	120			1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12			3513			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
26	Light Cavalry	1	23						6	1	120		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12			3513			50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
