id	name	rarity	loc	level	path	F	A	W	E	S	D	N	G	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	scorch	evil	scryrange	addtolimitedrecruitment	ageratereduction	dragonlord	corpselord	ivylord	maximizeorder	end
1	The Smouldercone	5	0	0	Fire	4																																																																				923	89	87																														0																				
2	The Coral Towers	5	0	0	Water			5																																				209																														104																																24																				
3	Cathedral of the Spheres	5	0	0	Astral		2	1		5																																		51																														41																																46																				
4	Swamps of Pythia	5	0	0	Nature																																							1831																														296					1840																											59																				
5	Forest of Avalon	5	0	0	Nature							3																																65	64																													212	2128																															57																				
6	Tower of Avalon	5	0	0	Nature								2																																																													153																																60																				
7	The Keep of Ulm	5	0	0	Earth																																							66																														748	1973	1982	113																													32																				
8	The Forges of Ulm	5	0	0	Earth				5																																																																																																	32																				
9	The Temple City	5	0	0	Death						4	2																																783																														177	1366																															53																				
10	Tower of a Thousand Stars	5	0	0	Astral					4		1																																747																														301																																44																				
11	The Citadel of Frozen Crystal	5	0	0	Water		3	2																																				2547	358																																																													24																				
12	Empoisoners Guild	5	0	0	Nature																																							503																														502																																62																				
13	The House of Fiery Justice	5	0	0	Holy	4				1																																																									50%							222	223																															99																				
14	The Grove of Gaia	5	0	0	Nature							5																																769																																																														57																				
15	The Halls of Andvare	5	0	0	Earth				3																																			463																														323																																37																				
16	Iron Woods	5	0	0	Nature					1	2		1																															1310																														3398																																58																				
17	The Sunken City	5	0	0	Astral			2		3																																																																																																46																				
18	Ravens Vale	5	0	0	Death																																							414																																																														48																				
19	Hidden Grove	5	0	0	Nature																																																																					516																																57																				
20	Surakid's Tower	5	0	1	Astral					4	2																																																																																															44																				
21	Mine of the Cyclops	5	0	0	Earth				2		2																																																																																															28																				
22	Bolivar's Tower of Reflections	5	0	3	Glamour								4																																																																							341																						75																				
23	The Unholy Sepulchre	5	0	0	Death						5																																																																																															53																				
24	The Unholy Sepulchre	5	0	0	Death						9																																																																																															53																				
25	The Unholy Sepulchre	5	0	0	Death						13																																																																																															53																				
