id	name	bossname	com	unit	nrunits	level	minmen	minpay	xp	randequip	recrate	item1	item2	eramask	end
1	Dante's Stingers	Dante	291	285	50	0	15	250	20	1	100			7	
2	Quickspears	Aimery	291	285	30	0	15	200	50	1	100			7	
3	Günter Blukraft's Sonnenkinder	Günter Blukraft	291	286	50	0	15	250	15	1	100			7	
4	The Black Fists	Sir Edward Blackfist	293	286	30	0	10	200	50	1	100			7	
5	Ferdinando's Footmen	Ferdinando	291	287	50	0	15	200	12	1	100			6	
6	Guifre's Swordsmen	'Sir' Guifre	291	287	50	0	15	250	15	1	100			7	
7	Arnaud's Archers	Arnaud	291	33	50	0	15	250	15	1	100			3	
8	The Bowmen	Lothar	291	17	30	0	10	150	10	1	100			3	
9	Fritjof's Archers	Fritjof	291	17	30	0	10	150	10	1	100			3	
10	Magnus's Crossbows	Rolf Magnus	291	290	20	0	10	120	12	1	100			6	
11	William's Boys	William	293	288	50	0	15	300	50	1	100			4	
12	Brave Breakers	Grom Brave Breaker	293	288	50	0	15	250	20	1	100			4	
13	Farstrikers	Guillaume	291	55	50	0	15	250	20	1	100			7	
14	Hector's Heavy Horsemen	Hector Stark	292	292	25	0	7	350	20	1	25			6	
15	Durand's Cavalry	Durand the Great	292	292	15	0	5	300	50	1	25			6	
16	Black Riders	Wilhelm	91	91	15	0	5	350	50	1	25			6	
17	Bernard's Brave Men	Bernard the Brave	293	289	50	0	15	350	50	1	100			7	
18	The Armored Fist of God	Guiseppe del Migo	149	289	40	0	12	300	25	1	100			6	
19	Burelk's City Guard	Burelk	291	18	100	0	30	200	0	1	200			7	
20	Elephant Corps	Hannibal	150	150	10	0	2	200	10	1	10			7	
21	Black Bone's Pirates	Black Bone	870	871	40	0	15	200	0	2	100			7	
22	Rexor's Barbarians	Rexor	141	140	50	0	5	150	3	0	200			3	
23	Victor's Villains	Victor	482	482	20	0	5	50	20	1	300			7	
24	The Archers in White	Sanne	367	348	30	0	15	150	20	1	50			3	
25	Raiders of the Silver Steppe	Xenos	1169	1168	30	0	10	250	15	1	100			3	
