id	name	rarity	description	requirements	effects	end
1	A festival was held in the hon	-1	A festival was held in the honor of ##godname##. Everyone was celebrating and faith has increased in the province.	mydominion 1|minpop 50	incdom 3	
2	A magnificent statue was raise	-1	A magnificent statue was raised in the honor of ##fullgodname##.	temple 1|mydominion 2|minpop 200	incdom 4|decscale Turmoil	
3	The tax collection went unexpe	-1	The tax collection went unexpectedly well.	minpop 800	gold 300	
4	A traders' guild has been esta	-2	A traders' guild has been established in the province, permanently increasing tax revenues from the province.	minpop 400	landgold 50	
5	A group of zealots has joined 	-2	A group of zealots has joined your armies.	dominion 3|land 1	nation -2|10d6units 217	
6	A wave of religious zeal has s	-2	A wave of religious zeal has swept the province and a group of followers committed to ##godname## has joined your armies.	dominion 2|land 1|minpop 50|unluck 0	nation -2|16d6units 30	
7	Many commoners are volunteerin	-1	Many commoners are volunteering to serve in the militia.	maxunrest 3|minpop 100	defence 15	
8	One of your bailiffs is afraid	-1	One of your bailiffs is afraid of bandits.	minunrest 5|minpop 50	defence 10	
9	A prospector genius has found 	-1	A prospector genius has found a small gold deposit.		gold 200	
10	A prospector genius has found 	-1	A prospector genius has found a small gold deposit.	luck 2	gold 400	
11	A prospector genius has found 	-1	A prospector genius has found a small gold deposit.	luck 3	gold 800	
12	A tribal chief from a distant 	-1	A tribal chief from a distant land has donated gold and a precious item to ##disname##.	dominion 5|era 1	gold 150|magicitem 2	
13	One of the local nobles is afr	-1	One of the local nobles is afraid of uprisings.	minunrest 5|minpop 50	defence 15	
14	A pedlar was peddling his ware	-1	A pedlar was peddling his wares in the province when one of your agents discovered a few magic gems of various types among his glass pearls and buttons. They were swiftly and forcefully bought at the price ##godname## intended.	minpop 50	1d3vis All|2A00 -1	
15	A band of robbers has been roo	-1	A band of robbers has been rooted out and their treasures confiscated.	minunrest 3	gold 250|unrest -10	
16	A band of robbers has been roo	-1	A band of robbers has been rooted out and their treasures confiscated.	minunrest 3|order 2	gold 350|unrest -20	
17	A handful of gems have been fo	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 1	1d6vis F	
18	A handful of gems have been fo	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 1|luck 0	1d6vis F	
19	A handful of gems have been fo	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 2|luck 0	2d6vis F	
20	A local wizard has been lynche	-1	A local wizard has been lynched after allegations of turning a peasant into a frog. His magical resources have been transported to the lab.	chaos -1|minpop 10|land 1	1d6vis F|1d6vis F	
21	A local mage has been lynched 	-1	A local mage has been lynched after allegations of turning a peasant into an oyster. His magical resources have been transported to the lab.	chaos -1|minpop 10|land 0	1d6vis F|1d6vis F	
22	Lightning struck a large bould	-1	Lightning struck a large boulder and afterwards a handful of gems could be found where the boulder had been cracked.	pop0ok 1	1d6vis A	
23	Lightning struck a large bould	-1	Lightning struck a large boulder and afterwards a handful of gems could be found where the boulder had been cracked.	pop0ok 1|luck 1	1d6vis A	
