monster_number	nation_number	end
431	5	
1076	5	
1081	5	
3197	5	
1083	5	
1071	5	
311	5	
1072	5	
3107	6	
3108	6	
3111	6	
3114	6	
3115	6	
3116	6	
430	7	
2485	7	
1534	7	
2158	7	
231	7	
2187	7	
2487	7	
1535	7	
426	8	
428	8	
671	8	
1386	8	
1112	8	
1113	8	
1114	8	
1115	8	
426	9	
1169	9	
1173	9	
1174	9	
1175	9	
1188	9	
1180	9	
1181	9	
1186	9	
1811	10	
1815	10	
2469	10	
1816	10	
1800	10	
1818	10	
1819	10	
1755	11	
1750	11	
2469	11	
1752	11	
1759	11	
1774	11	
1775	11	
1209	12	
1215	12	
1218	12	
1221	12	
1207	12	
1206	12	
1225	12	
1205	12	
2468	12	
2279	13	
1158	13	
1159	13	
1160	13	
3589	14	
3590	14	
3594	14	
3596	14	
1466	15	
1463	15	
1461	15	
1470	15	
2491	15	
1460	15	
429	16	
119	16	
214	16	
1698	16	
1699	16	
2020	17	
2024	17	
2023	17	
2016	17	
2017	17	
2013	17	
2014	17	
2033	17	
3457	18	
3458	18	
3459	18	
3460	18	
3461	18	
3462	18	
2161	19	
2177	19	
2178	19	
2182	19	
2179	19	
2268	19	
2180	19	
1119	20	
1127	20	
1334	20	
1145	20	
1143	20	
2542	20	
1119	21	
1127	21	
1761	21	
1760	21	
1733	21	
1734	21	
1735	21	
426	22	
1665	22	
806	22	
3936	22	
4022	22	
2467	23	
1313	23	
1314	23	
3069	23	
1315	23	
1609	23	
1276	23	
484	24	
1288	24	
1284	24	
2557	24	
2570	24	
1663	24	
729	25	
730	25	
731	25	
1361	25	
2674	26	
2675	26	
2676	26	
2691	26	
2678	26	
2679	26	
2677	26	
2680	26	
2681	26	
169	27	
163	27	
162	27	
160	27	
510	27	
170	27	
1387	27	
161	27	
2288	28	
2289	28	
2290	28	
2291	28	
2292	28	
2293	28	
2310	28	
2403	28	
2252	29	
2253	29	
2265	29	
2424	29	
1512	30	
263	30	
264	30	
1512	31	
1505	31	
1506	31	
1502	31	
2984	32	
2985	32	
2986	32	
2987	32	
3008	32	
786	33	
1301	33	
1299	33	
1300	33	
553	33	
785	33	
3972	34	
1050	40	
1293	40	
2390	40	
1696	40	
1415	40	
2395	40	
2396	40	
2370	41	
2372	41	
2374	41	
2392	41	
1054	41	
2861	41	
1038	41	
2833	42	
1680	43	
1694	43	
1700	43	
1701	43	
1693	43	
1692	43	
432	44	
1523	44	
1527	44	
1518	44	
2886	44	
1520	44	
431	50	
46	50	
13	50	
15	50	
746	50	
242	50	
3198	50	
311	50	
3129	51	
3130	51	
3131	51	
3161	51	
3162	51	
3135	51	
3141	51	
430	52	
2118	52	
232	52	
236	52	
2158	52	
231	52	
237	52	
238	52	
430	53	
2485	53	
1534	53	
2311	53	
2312	53	
901	53	
2480	53	
709	53	
426	55	
428	55	
671	55	
1386	55	
2244	55	
669	55	
426	56	
428	56	
683	56	
1385	56	
6	56	
5	56	
52	56	
43	56	
42	56	
56	57	
54	57	
60	57	
658	57	
151	57	
152	57	
1789	58	
1783	58	
1784	58	
2425	58	
3887	58	
850	58	
848	58	
1774	58	
1448	59	
1445	59	
2483	59	
1471	59	
1475	59	
1473	59	
1474	59	
1591	60	
114	60	
115	60	
116	60	
117	60	
70	60	
325	60	
1974	60	
426	61	
428	61	
2107	61	
440	61	
148	61	
149	61	
225	61	
224	61	
3638	61	
3614	62	
3615	62	
3618	62	
3619	62	
3620	62	
429	63	
119	63	
214	63	
85	63	
86	63	
2010	64	
2009	64	
2029	64	
2060	64	
2038	64	
3347	65	
3334	65	
3358	65	
3337	65	
3357	65	
3343	65	
3340	65	
2934	66	
2942	66	
2943	66	
2949	66	
2950	66	
2951	66	
2944	66	
2945	66	
2946	66	
2947	66	
3284	67	
1119	68	
1127	68	
1128	68	
1135	68	
1136	68	
1146	68	
1145	68	
1143	68	
426	69	
792	69	
805	69	
813	69	
807	69	
804	69	
808	69	
1890	69	
1891	69	
1894	69	
1893	69	
1963	70	
2467	70	
1313	70	
1398	70	
1531	70	
1436	70	
1549	70	
1429	70	
1608	70	
1427	70	
484	71	
418	71	
2575	71	
1284	71	
1283	71	
202	71	
204	71	
203	71	
2666	72	
2647	72	
2654	72	
2655	72	
2656	72	
2657	72	
2660	72	
2661	72	
2662	72	
729	73	
730	73	
1189	73	
1361	73	
1888	73	
2715	74	
2718	74	
2717	74	
2716	74	
169	75	
163	75	
162	75	
160	75	
510	75	
170	75	
177	75	
937	75	
2288	76	
881	76	
883	76	
887	76	
895	76	
896	76	
897	76	
892	76	
893	76	
3153	77	
3154	77	
3166	77	
3151	77	
3155	77	
3156	77	
426	78	
422	78	
263	78	
264	78	
2353	79	
2354	79	
2355	79	
2356	79	
2341	79	
2357	79	
283	80	
786	80	
437	80	
274	80	
275	80	
913	80	
3429	80	
3397	80	
3672	81	
3671	81	
3670	81	
3830	81	
3682	81	
3679	81	
3680	81	
2912	85	
2913	85	
2914	85	
2931	85	
1050	86	
1052	86	
1069	86	
2421	86	
1696	86	
1415	86	
2823	86	
1418	86	
1417	86	
2422	86	
2423	86	
2370	87	
2372	87	
2410	87	
2392	87	
1054	87	
2861	87	
1038	87	
432	88	
207	88	
441	88	
112	88	
322	88	
3096	88	
432	89	
444	89	
1527	89	
1518	89	
445	89	
443	89	
333	89	
431	95	
1552	95	
13	95	
15	95	
1554	95	
746	95	
3199	95	
3200	95	
311	95	
3128	95	
3217	96	
3218	96	
3219	96	
3220	96	
3221	96	
3222	96	
3223	96	
430	97	
2154	97	
699	97	
701	97	
703	97	
2479	97	
705	97	
706	97	
426	98	
1869	98	
1870	98	
1871	98	
2151	98	
830	98	
1877	98	
1878	98	
1879	98	
56	100	
54	100	
1645	100	
1644	100	
1646	100	
1643	100	
1647	100	
1016	101	
