monster_number	nation_number	end
50	5	
201	5	
199	5	
1077	5	
1079	5	
1078	5	
1082	5	
3100	6	
3101	6	
3103	6	
3105	6	
3109	6	
3110	6	
3120	6	
239	7	
227	7	
228	7	
1532	7	
708	7	
234	7	
1533	7	
2156	7	
27	7	
2157	7	
1704	7	
50	8	
1100	8	
1101	8	
1102	8	
1103	8	
1104	8	
1105	8	
2	8	
1106	8	
1107	8	
11	8	
12	8	
1184	9	
1669	9	
1168	9	
1167	9	
1171	9	
1170	9	
1172	9	
1820	10	
1814	10	
1812	10	
1813	10	
1796	10	
1797	10	
1798	10	
1799	10	
1749	11	
1758	11	
1757	11	
1756	11	
1751	11	
1210	12	
1211	12	
1212	12	
1213	12	
1214	12	
1216	12	
1217	12	
1219	12	
1220	12	
1208	12	
1162	13	
1163	13	
1152	13	
1153	13	
1154	13	
1155	13	
1165	13	
1164	13	
1156	13	
3633	14	
3587	14	
3689	14	
3588	14	
3591	14	
3592	14	
1452	15	
1489	15	
1465	15	
1464	15	
1453	15	
1462	15	
447	15	
1488	15	
1495	15	
1469	15	
81	16	
82	16	
83	16	
84	16	
213	16	
2184	17	
2018	17	
2034	17	
2019	17	
2021	17	
2015	17	
2022	17	
2059	17	
2036	17	
2035	17	
2037	17	
3453	18	
3454	18	
3470	18	
3455	18	
3456	18	
2172	19	
2173	19	
2174	19	
2175	19	
1118	20	
1120	20	
1121	20	
1122	20	
1130	20	
1333	20	
1350	20	
1326	20	
1118	21	
1120	21	
1121	21	
1122	21	
1130	21	
1762	21	
1763	21	
794	22	
795	22	
796	22	
797	22	
1901	22	
1904	22	
928	22	
929	22	
788	22	
927	22	
1393	23	
1394	23	
1395	23	
1311	23	
1312	23	
2564	24	
2566	24	
2565	24	
1287	24	
130	24	
420	24	
1285	24	
1707	24	
1278	24	
419	24	
721	25	
722	25	
723	25	
724	25	
860	25	
1882	25	
727	25	
2668	26	
2669	26	
2670	26	
2671	26	
2687	26	
2688	26	
2689	26	
168	27	
167	27	
166	27	
165	27	
504	27	
171	27	
172	27	
173	27	
1365	27	
2126	28	
2298	28	
2299	28	
2300	28	
2303	28	
2304	28	
2305	28	
2306	28	
2307	28	
2254	29	
2255	29	
2256	29	
2257	29	
2258	29	
2259	29	
2260	29	
2261	29	
1679	30	
1508	30	
1509	30	
1510	30	
1504	30	
1679	31	
1508	31	
1509	31	
1510	31	
1504	31	
2989	32	
2990	32	
2991	32	
2993	32	
2994	32	
1302	33	
1303	33	
1304	33	
1305	33	
1306	33	
1307	33	
1308	33	
845	33	
2388	40	
1291	40	
2382	40	
2383	40	
2384	40	
1056	40	
2385	40	
2386	40	
2391	40	
1041	41	
2376	41	
2378	41	
2380	41	
1408	41	
1682	43	
1681	43	
1683	43	
1684	43	
1685	43	
1686	43	
1687	43	
1688	43	
1689	43	
1517	44	
1526	44	
1515	44	
1524	44	
335	44	
1619	44	
336	44	
337	44	
425	44	
1403	44	
50	50	
201	50	
199	50	
14	50	
16	50	
200	50	
150	50	
3132	51	
3133	51	
3134	51	
3136	51	
3137	51	
3140	51	
239	52	
227	52	
228	52	
229	52	
230	52	
708	52	
234	52	
235	52	
2156	52	
27	52	
2157	52	
707	52	
2956	52	
233	52	
239	53	
227	53	
228	53	
1532	53	
234	53	
1533	53	
2156	53	
27	53	
2157	53	
1704	53	
50	55	
662	55	
663	55	
664	55	
665	55	
666	55	
667	55	
668	55	
11	55	
12	55	
50	56	
684	56	
685	56	
686	56	
687	56	
688	56	
7	56	
689	56	
3	56	
11	56	
12	56	
538	56	
1	57	
2127	57	
61	57	
62	57	
53	57	
59	57	
63	57	
2129	57	
3275	57	
57	57	
1779	58	
1780	58	
1781	58	
1782	58	
3631	58	
1447	59	
1355	59	
1354	59	
1489	59	
1472	59	
2507	59	
2482	59	
2153	60	
417	60	
67	60	
68	60	
71	60	
72	60	
75	60	
76	60	
73	60	
74	60	
77	60	
78	60	
79	60	
80	60	
69	60	
749	60	
218	61	
219	61	
220	61	
221	61	
133	61	
217	61	
134	61	
135	61	
3607	62	
3608	62	
3609	62	
3610	62	
3611	62	
3612	62	
372	63	
983	63	
81	63	
82	63	
83	63	
84	63	
213	63	
2003	64	
2004	64	
2005	64	
2006	64	
2007	64	
2061	64	
2008	64	
3332	65	
3333	65	
3356	65	
3338	65	
3355	65	
3336	65	
3335	65	
2935	66	
2936	66	
2938	66	
2939	66	
2940	66	
2941	66	
1118	68	
1120	68	
1121	68	
1122	68	
1123	68	
1124	68	
1125	68	
1126	68	
1130	68	
1131	68	
1351	68	
1132	68	
1133	68	
1134	68	
1142	68	
1147	68	
797	69	
794	69	
795	69	
796	69	
1903	69	
1902	69	
3713	69	
801	69	
802	69	
800	69	
1900	69	
798	69	
788	69	
789	69	
790	69	
1311	70	
1312	70	
1393	70	
1394	70	
1395	70	
1390	70	
1391	70	
1392	70	
1550	70	
1399	70	
1396	70	
1397	70	
129	71	
131	71	
128	71	
421	71	
130	71	
420	71	
132	71	
419	71	
2643	72	
2644	72	
2645	72	
2646	72	
2648	72	
2652	72	
2649	72	
2650	72	
2651	72	
721	73	
1545	73	
1546	73	
1547	73	
1548	73	
1883	73	
726	73	
2721	74	
2722	74	
2723	74	
2724	74	
2725	74	
2726	74	
168	75	
167	75	
166	75	
165	75	
504	75	
171	75	
172	75	
173	75	
2126	76	
878	76	
879	76	
880	76	
1599	76	
882	76	
885	76	
886	76	
3143	77	
3144	77	
3145	77	
3146	77	
3147	77	
3165	77	
3148	77	
142	78	
143	78	
144	78	
145	78	
400	78	
146	78	
2343	79	
2344	79	
2345	79	
2346	79	
2347	79	
2348	79	
3071	79	
2350	79	
3423	80	
541	80	
282	80	
1085	80	
277	80	
276	80	
300	80	
278	80	
279	80	
841	80	
840	80	
842	80	
845	80	
3673	81	
3676	81	
3675	81	
3674	81	
3678	81	
2907	85	
2908	85	
2923	85	
2909	85	
2910	85	
1046	86	
1048	86	
1056	86	
1057	86	
2416	86	
1419	86	
2404	87	
2406	87	
2408	87	
1043	87	
1045	87	
2412	87	
2414	87	
1408	87	
1410	87	
110	88	
111	88	
107	88	
1621	88	
1620	88	
108	88	
1622	88	
206	88	
2862	88	
208	88	
211	88	
1517	89	
1526	89	
1515	89	
1524	89	
335	89	
1619	89	
336	89	
337	89	
424	89	
425	89	
243	89	
331	89	
407	89	
50	95	
201	95	
1551	95	
14	95	
16	95	
1553	95	
1555	95	
3211	96	
3212	96	
3213	96	
3215	96	
3224	96	
239	97	
2155	97	
227	97	
228	97	
229	97	
2478	97	
697	97	
2957	97	
698	97	
700	97	
702	97	
1862	98	
1863	98	
1864	98	
2152	98	
1867	98	
1868	98	
2475	98	
11	98	
12	98	
2127	100	
61	100	
62	100	
1578	100	
2452	100	
2453	100	
2455	100	
2454	100	
1642	100	
1400	100	
1641	100	
482	101	
1013	101	
1014	101	
1015	101	
1017	101	
1034	101	
1675	102	
1676	102	
1677	102	
1447	102	
1355	102	
1354	102	
1352	102	
1437	102	
1449	102	
1450	102	
2108	103	
2109	103	
2110	103	
2111	103	
2112	103	
2113	103	
2115	103	
217	103	
1090	104	
984	104	
985	104	
986	104	
987	104	
988	104	
989	104	
1972	104	
2579	105	
2580	105	
2581	105	
2582	105	
2583	105	
2584	105	
2585	105	
2586	105	
2589	105	
2590	105	
2591	105	
2564	106	
2593	106	
2594	106	
421	106	
130	106	
420	106	
2571	106	
2572	106	
2573	106	
2574	106	
1279	106	
949	106	
419	106	
1994	107	
1996	107	
1993	107	
1992	107	
2050	107	
1991	107	
1990	107	
1989	107	
1999	107	
1118	108	
1120	108	
1121	108	
1122	108	
1123	108	
1124	108	
1125	108	
1126	108	
1130	108	
1131	108	
1351	108	
1132	108	
1133	108	
1147	108	
794	109	
795	109	
796	109	
797	109	
1901	109	
1904	109	
928	109	
929	109	
938	109	
939	109	
1238	110	
1239	110	
1240	110	
1241	110	
1243	110	
1244	110	
1245	110	
1246	110	
721	111	
1545	111	
1546	111	
1547	111	
1548	111	
727	111	
2738	112	
2739	112	
2740	112	
2741	112	
2742	112	
2744	112	
2745	112	
2746	112	
168	113	
167	113	
166	113	
165	113	
3918	113	
3856	113	
3855	113	
3854	113	
2148	115	
142	115	
143	115	
144	115	
145	115	
146	115	
853	115	
1929	116	
1930	116	
1931	116	
1928	116	
1927	116	
1926	116	
1922	116	
1923	116	
1921	116	
837	117	
838	117	
3436	117	
3437	117	
3438	117	
277	117	
276	117	
300	117	
278	117	
279	117	
840	117	
841	117	
842	117	
3401	118	
3412	118	
3402	118	
3417	118	
3403	118	
3404	118	
3405	118	
3418	118	
3413	118	
3415	118	
3803	119	
3804	119	
3805	119	
3806	119	
3807	119	
3808	119	
3809	119	
3783	120	
3784	120	
3785	120	
3786	120	
3787	120	
3788	120	
3792	120	
3840	121	
3841	121	
3842	121	
3843	121	
3844	121	
3845	121	
3846	121	
3847	121	
4034	123	
4035	123	
4036	123	
4037	123	
4038	123	
4039	123	
3024	125	
1617	126	
1625	126	
1626	126	
1627	126	
1628	126	
1629	126	
1703	126	
1517	127	
1526	127	
1515	127	
1524	127	
335	127	
1619	127	
336	127	
337	127	
424	127	
425	127	
243	127	
331	127	
407	127	
