monster_number	nation_number	end
250	5	
606	5	
1231	5	
1232	5	
1233	5	
2138	5	
2788	5	
2958	5	
3053	5	
158	6	
180	6	
606	6	
1231	6	
2138	6	
2785	6	
2786	6	
2788	6	
2790	6	
2791	6	
2881	6	
2958	6	
250	7	
606	7	
657	7	
1026	7	
1231	7	
1370	7	
2138	7	
2234	7	
2449	7	
2450	7	
2786	7	
2788	7	
2958	7	
2961	7	
4024	7	
4025	7	
215	8	
250	8	
606	8	
874	8	
1231	8	
1232	8	
1233	8	
2138	8	
2786	8	
2787	8	
2958	8	
134	9	
250	9	
269	9	
606	9	
608	9	
653	9	
657	9	
862	9	
1231	9	
1370	9	
2138	9	
2234	9	
2447	9	
2448	9	
2449	9	
2450	9	
2786	9	
2788	9	
250	10	
269	10	
979	10	
1898	10	
1899	10	
250	11	
1905	11	
2234	11	
138	12	
157	12	
250	12	
812	12	
978	12	
979	12	
1340	12	
1370	12	
2786	12	
3650	12	
1230	13	
1340	13	
1370	13	
2786	13	
250	14	
269	14	
606	14	
657	14	
779	14	
978	14	
979	14	
1230	14	
1371	14	
1590	14	
2431	14	
2450	14	
2502	14	
2503	14	
2784	14	
2786	14	
2795	14	
2796	14	
2930	14	
3079	14	
3080	14	
3081	14	
3082	14	
3121	14	
3204	14	
3205	14	
3208	14	
3209	14	
3632	14	
3639	14	
3692	14	
3894	14	
250	15	
269	15	
606	15	
657	15	
1230	15	
1373	15	
1581	15	
1590	15	
2431	15	
2438	15	
2445	15	
2502	15	
2503	15	
2955	15	
3121	15	
3639	15	
3876	15	
120	16	
269	16	
486	16	
655	16	
957	16	
1025	16	
1097	16	
1384	16	
2137	16	
2138	16	
2608	16	
2788	16	
3328	16	
3329	16	
3330	16	
3331	16	
3346	16	
3369	16	
3370	16	
3386	16	
3387	16	
3388	16	
3876	16	
159	17	
606	17	
978	17	
979	17	
1025	17	
2082	17	
2958	17	
3346	17	
159	18	
606	18	
978	18	
979	18	
1025	18	
2082	18	
3346	18	
3473	18	
3876	18	
159	19	
979	19	
2958	19	
2960	19	
3190	19	
3191	19	
269	20	
657	20	
979	20	
1339	20	
2457	20	
2788	20	
2958	20	
3088	20	
269	21	
657	21	
979	21	
1339	21	
2550	21	
2788	21	
2958	21	
3088	21	
3876	21	
250	22	
499	22	
608	22	
1341	22	
1344	22	
3060	22	
3662	22	
3926	22	
608	23	
657	23	
2203	23	
2447	23	
2448	23	
2449	23	
2978	23	
3876	23	
250	24	
2552	24	
2553	24	
2554	24	
2555	24	
2578	24	
2608	24	
2610	24	
2611	24	
2627	24	
3876	24	
269	25	
606	25	
653	25	
657	25	
857	25	
3876	25	
269	26	
606	26	
653	26	
657	26	
3192	26	
3639	26	
3876	26	
157	27	
269	27	
320	27	
1349	27	
2138	27	
2205	27	
2786	27	
2787	27	
2788	27	
269	28	
606	28	
655	28	
657	28	
957	28	
978	28	
979	28	
1025	28	
1097	28	
1346	28	
2138	28	
2426	28	
2786	28	
2787	28	
2788	28	
3328	28	
3329	28	
3330	28	
3331	28	
3369	28	
3370	28	
3386	28	
3387	28	
3388	28	
3661	28	
3876	28	
1025	29	
2138	29	
2315	29	
2881	29	
3346	29	
606	30	
657	30	
3876	30	
606	31	
657	31	
3876	31	
606	32	
657	32	
1340	32	
1370	32	
2450	32	
500	33	
605	33	
606	33	
643	33	
644	33	
657	33	
3876	33	
500	34	
606	34	
643	34	
644	34	
657	34	
3876	34	
159	40	
179	40	
180	40	
248	40	
269	40	
294	40	
472	40	
657	40	
872	40	
961	40	
973	40	
1232	40	
1233	40	
